,precision,recall,f1-score,support
A,0.7777777777777778,0.875,0.8235294117647058,16.0
B,0.4,0.5714285714285714,0.47058823529411764,7.0
C,0.47619047619047616,0.7142857142857143,0.5714285714285714,14.0
D,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
E,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
F,0.8,0.6666666666666666,0.7272727272727273,6.0
G,0.6470588235294118,0.9166666666666666,0.7586206896551724,12.0
H,0.7777777777777778,1.0,0.875,7.0
I,0.5833333333333334,0.7,0.6363636363636364,10.0
J,0.6428571428571429,0.8181818181818182,0.72,11.0
K,1.0,0.6,0.75,10.0
L,0.4666666666666667,0.5833333333333334,0.5185185185185185,12.0
M,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0
N,0.6666666666666666,0.9090909090909091,0.7692307692307693,11.0
O,0.4,0.2222222222222222,0.2857142857142857,9.0
P,0.2631578947368421,0.625,0.37037037037037035,8.0
Q,1.0,0.7142857142857143,0.8333333333333334,7.0
R,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0
S,1.0,0.2857142857142857,0.4444444444444444,7.0
T,1.0,0.16666666666666666,0.2857142857142857,6.0
U,1.0,0.16666666666666666,0.2857142857142857,6.0
V,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
W,0.75,0.42857142857142855,0.5454545454545454,7.0
X,0.25,0.3333333333333333,0.2857142857142857,6.0
Y,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Z,0.2777777777777778,0.7142857142857143,0.4,7.0
\rightarrow,0.6330935251798561,0.822429906542056,0.7154471544715447,107.0
0,0.4166666666666667,0.35714285714285715,0.38461538461538464,14.0
1,0.46153846153846156,0.5,0.48,12.0
2,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
3,0.4375,0.5833333333333334,0.5,12.0
4,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
5,0.6666666666666666,0.75,0.7058823529411765,8.0
6,0.6153846153846154,0.8,0.6956521739130435,10.0
7,0.5384615384615384,0.875,0.6666666666666666,8.0
8,0.5,0.46153846153846156,0.48,13.0
9,0.5,0.5555555555555556,0.5263157894736842,9.0
\pi,0.773972602739726,0.7337662337662337,0.7533333333333333,154.0
\alpha,0.7936507936507936,0.7662835249042146,0.7797270955165692,261.0
\beta,0.7964601769911505,0.7894736842105263,0.7929515418502202,114.0
\sum,0.6756756756756757,0.7352941176470589,0.704225352112676,340.0
\sigma,0.9207920792079208,0.8230088495575221,0.8691588785046729,113.0
a,0.5384615384615384,0.7777777777777778,0.6363636363636364,9.0
b,0.5,0.16666666666666666,0.25,6.0
c,0.0,0.0,0.0,7.0
d,0.8,0.6666666666666666,0.7272727272727273,6.0
e,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
f,0.6,0.42857142857142855,0.5,7.0
g,0.0,0.0,0.0,6.0
h,0.6,0.5,0.5454545454545454,6.0
i,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
j,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
k,1.0,0.6666666666666666,0.8,6.0
l,0.0,0.0,0.0,6.0
m,0.6,0.5,0.5454545454545454,6.0
n,0.8,0.5714285714285714,0.6666666666666666,7.0
o,0.0,0.0,0.0,7.0
p,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
q,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
r,0.6666666666666666,0.2857142857142857,0.4,7.0
s,0.5,0.16666666666666666,0.25,6.0
u,0.6,0.5,0.5454545454545454,6.0
v,0.0,0.0,0.0,7.0
w,0.42857142857142855,0.5,0.46153846153846156,6.0
x,0.0,0.0,0.0,7.0
y,0.4,0.6666666666666666,0.5,6.0
z,0.0,0.0,0.0,6.0
\Sigma,0.4444444444444444,0.33507853403141363,0.382089552238806,191.0
\gamma,0.9504950495049505,0.8421052631578947,0.8930232558139535,114.0
\Gamma,0.8333333333333334,0.7936507936507936,0.8130081300813008,63.0
\delta,0.875,0.896,0.8853754940711462,125.0
\Delta,0.689922480620155,0.89,0.777292576419214,100.0
\zeta,0.7040816326530612,0.7840909090909091,0.7419354838709677,88.0
\eta,0.775,0.8985507246376812,0.8322147651006712,69.0
\theta,0.7192982456140351,0.6212121212121212,0.6666666666666666,66.0
\Theta,0.6170212765957447,0.6170212765957447,0.6170212765957447,47.0
\epsilon,0.3111111111111111,0.2545454545454545,0.28,55.0
\varepsilon,0.5392156862745098,0.7333333333333333,0.6214689265536724,75.0
\iota,0.9230769230769231,0.75,0.8275862068965517,16.0
\kappa,0.6,0.6923076923076923,0.6428571428571429,26.0
\varkappa,0.36363636363636365,0.26666666666666666,0.3076923076923077,15.0
\lambda,0.968421052631579,0.92,0.9435897435897436,100.0
\Lambda,0.5714285714285714,0.5333333333333333,0.5517241379310345,45.0
\mu,0.8782608695652174,0.8782608695652174,0.8782608695652174,115.0
\nu,0.7380952380952381,0.775,0.7560975609756098,40.0
\xi,0.8860759493670886,0.8171206225680934,0.8502024291497976,257.0
\Xi,0.7727272727272727,0.85,0.8095238095238095,40.0
\Pi,0.35294117647058826,0.15,0.21052631578947367,80.0
\rho,0.9152542372881356,0.7714285714285715,0.8372093023255814,70.0
\varrho,0.7647058823529411,0.5652173913043478,0.65,23.0
\tau,0.6511627906976745,0.6511627906976745,0.6511627906976745,43.0
\phi,0.48863636363636365,0.6231884057971014,0.5477707006369427,69.0
\Phi,0.7419354838709677,0.7540983606557377,0.7479674796747967,61.0
\varphi,0.9424460431654677,0.8562091503267973,0.8972602739726028,153.0
\chi,0.7471264367816092,0.6989247311827957,0.7222222222222222,93.0
\psi,0.5454545454545454,0.42105263157894735,0.4752475247524752,57.0
\Psi,0.43478260869565216,0.6666666666666666,0.5263157894736842,45.0
\omega,0.921875,0.921875,0.921875,64.0
\Omega,0.717948717948718,0.6746987951807228,0.6956521739130435,83.0
\partial,0.9484978540772532,0.9132231404958677,0.9305263157894736,242.0
\int,0.9584569732937686,0.9176136363636364,0.9375907111756169,352.0
\cdot,0.8518518518518519,0.9078947368421053,0.8789808917197452,76.0
\leq,0.7888888888888889,0.6698113207547169,0.7244897959183674,106.0
\geq,0.7525773195876289,0.8390804597701149,0.7934782608695652,87.0
<,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
>,0.6,0.5454545454545454,0.5714285714285714,11.0
\subset,0.7474747474747475,0.9487179487179487,0.8361581920903954,78.0
\supset,0.84,1.0,0.9130434782608695,42.0
\subseteq,0.9617834394904459,0.9556962025316456,0.9587301587301588,158.0
\supseteq,0.8536585365853658,0.8536585365853658,0.8536585365853658,41.0
\cong,0.9440559440559441,0.9642857142857143,0.9540636042402827,140.0
\propto,0.5734265734265734,0.5899280575539568,0.5815602836879432,139.0
-,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0
+,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
\mathbb{R},0.0,0.0,0.0,6.0
\$,0.7317073170731707,0.7692307692307693,0.75,39.0
\{,0.8031496062992126,0.8947368421052632,0.8464730290456431,114.0
\copyright,0.8888888888888888,0.64,0.7441860465116279,25.0
\dots,0.5652173913043478,0.9285714285714286,0.7027027027027027,14.0
\},0.627906976744186,0.8181818181818182,0.7105263157894737,33.0
\S,0.5306122448979592,0.7428571428571429,0.6190476190476191,35.0
\dag,0.6944444444444444,0.9615384615384616,0.8064516129032258,26.0
\pounds,0.6923076923076923,0.6,0.6428571428571429,15.0
\&,0.8,0.8062015503875969,0.803088803088803,129.0
\#,0.8706896551724138,0.9439252336448598,0.905829596412556,107.0
\%,0.9873417721518988,0.8764044943820225,0.9285714285714286,89.0
\checkmark,0.7192982456140351,0.9318181818181818,0.8118811881188119,88.0
\circledR,1.0,0.9166666666666666,0.9565217391304348,12.0
\mathsection,0.0,0.0,0.0,13.0
\amalg,0.5714285714285714,0.21052631578947367,0.3076923076923077,19.0
\cup,0.9587628865979382,1.0,0.9789473684210527,93.0
\oplus,0.9323308270676691,0.9253731343283582,0.9288389513108615,134.0
\times,0.8224852071005917,0.9205298013245033,0.86875,151.0
\ast,0.9818181818181818,0.9642857142857143,0.972972972972973,56.0
\triangleleft,0.6363636363636364,0.5,0.56,14.0
\otimes,0.9026548672566371,0.9444444444444444,0.9230769230769231,108.0
\triangleright,0.8235294117647058,0.875,0.8484848484848485,16.0
\diamond,0.6,0.84,0.7,25.0
\pm,0.9197530864197531,0.9738562091503268,0.946031746031746,153.0
\div,0.9142857142857143,0.9411764705882353,0.927536231884058,34.0
\bullet,0.6363636363636364,0.6,0.6176470588235294,35.0
\setminus,0.6779661016949152,0.7692307692307693,0.7207207207207207,52.0
\uplus,0.8571428571428571,0.9473684210526315,0.9,19.0
\cap,0.9537037037037037,0.9363636363636364,0.944954128440367,110.0
\mp,0.75,1.0,0.8571428571428571,12.0
\sqcap,0.3333333333333333,0.8666666666666667,0.48148148148148145,15.0
\vee,0.7857142857142857,0.8850574712643678,0.8324324324324325,87.0
\odot,0.6133333333333333,0.9387755102040817,0.7419354838709677,49.0
\sqcup,0.8064516129032258,0.9259259259259259,0.8620689655172413,27.0
\wedge,0.8121212121212121,0.9178082191780822,0.8617363344051447,146.0
\circ,0.42857142857142855,0.826530612244898,0.5644599303135889,98.0
\ominus,0.26666666666666666,0.36363636363636365,0.3076923076923077,11.0
\star,0.96,0.8888888888888888,0.9230769230769231,27.0
\wr,0.75,0.5,0.6,6.0
\barwedge,1.0,0.9090909090909091,0.9523809523809523,11.0
\circledcirc,0.5263157894736842,0.8333333333333334,0.6451612903225806,12.0
\boxdot,1.0,1.0,1.0,13.0
\ltimes,0.8148148148148148,0.9565217391304348,0.88,23.0
\boxplus,1.0,0.9090909090909091,0.9523809523809523,11.0
\boxtimes,1.0,1.0,1.0,22.0
\rtimes,0.96,0.8888888888888888,0.9230769230769231,27.0
\circledast,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
\lhd,0.46153846153846156,0.5454545454545454,0.5,11.0
\prod,0.5324675324675324,0.7321428571428571,0.6165413533834586,112.0
\coprod,0.52,0.7647058823529411,0.6190476190476191,17.0
\oint,0.8015873015873016,0.8487394957983193,0.8244897959183674,119.0
\parr,1.0,0.6,0.75,10.0
\with,0.2,0.09523809523809523,0.12903225806451613,21.0
\fint,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
\varoiint,0.5,0.6,0.5454545454545454,15.0
\oiint,0.8148148148148148,0.6875,0.7457627118644068,32.0
\approx,0.9900497512437811,0.9707317073170731,0.9802955665024631,205.0
\equiv,0.9498069498069498,0.9761904761904762,0.9628180039138943,252.0
\not\equiv,0.9411764705882353,0.8205128205128205,0.8767123287671232,39.0
\perp,0.5868263473053892,0.8828828828828829,0.7050359712230215,111.0
\asymp,0.9230769230769231,0.8,0.8571428571428571,15.0
\frown,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
\prec,0.8333333333333334,0.9433962264150944,0.8849557522123894,53.0
\succ,0.9210526315789473,0.9459459459459459,0.9333333333333333,37.0
\bowtie,0.5625,0.375,0.45,24.0
\preceq,0.7096774193548387,0.7857142857142857,0.7457627118644068,28.0
\succeq,0.8823529411764706,0.7142857142857143,0.7894736842105263,21.0
\mid,0.34146341463414637,0.4117647058823529,0.37333333333333335,34.0
\vdash,0.9901960784313726,0.9439252336448598,0.9665071770334929,107.0
\dashv,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
\models,0.4875,0.8125,0.609375,48.0
\sim,0.9611650485436893,0.9850746268656716,0.972972972972973,201.0
\doteq,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0
\parallel,0.625,0.5555555555555556,0.5882352941176471,36.0
\simeq,0.9354838709677419,0.9886363636363636,0.9613259668508287,88.0
\backsim,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
\multimap,1.0,0.9,0.9473684210526315,10.0
\pitchfork,0.9230769230769231,1.0,0.96,12.0
\therefore,1.0,0.987012987012987,0.9934640522875817,77.0
\because,1.0,1.0,1.0,22.0
\between,0.6,0.6,0.6,10.0
\preccurlyeq,0.8,0.631578947368421,0.7058823529411765,19.0
\varpropto,0.0,0.0,0.0,14.0
\Vdash,0.6086956521739131,1.0,0.7567567567567568,14.0
\vDash,0.4666666666666667,0.15217391304347827,0.22950819672131148,46.0
\nmid,0.7555555555555555,0.9714285714285714,0.85,35.0
\nvDash,0.7,0.9333333333333333,0.8,15.0
\sqsubseteq,0.6829268292682927,0.9655172413793104,0.8,29.0
\nsubseteq,0.8125,0.65,0.7222222222222222,20.0
\subsetneq,0.75,0.875,0.8076923076923077,24.0
\varsubsetneq,0.5,0.5,0.5,10.0
\neq,0.9448275862068966,0.8954248366013072,0.9194630872483222,153.0
\geqslant,0.7037037037037037,0.6129032258064516,0.6551724137931034,31.0
\gtrless,0.7272727272727273,0.8,0.7619047619047619,10.0
\lesssim,0.9324324324324325,0.8846153846153846,0.9078947368421053,78.0
\gtrsim,0.9193548387096774,0.8769230769230769,0.8976377952755905,65.0
\leqslant,0.6041666666666666,0.725,0.6590909090909091,40.0
\trianglelefteq,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
\blacktriangleright,1.0,1.0,1.0,6.0
\triangleq,0.9473684210526315,0.9473684210526315,0.9473684210526315,57.0
\Downarrow,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0
\downarrow,0.8636363636363636,0.9047619047619048,0.8837209302325582,21.0
\Rightarrow,0.875,0.8352272727272727,0.8546511627906976,176.0
\hookrightarrow,0.9104477611940298,0.9104477611940298,0.9104477611940298,67.0
\Longleftrightarrow,0.5,0.25,0.3333333333333333,24.0
\searrow,1.0,0.9333333333333333,0.9655172413793104,15.0
\longmapsto,0.15384615384615385,0.10526315789473684,0.125,19.0
\leftarrow,0.7333333333333333,0.5238095238095238,0.6111111111111112,21.0
\Longrightarrow,0.2962962962962963,0.2962962962962963,0.2962962962962963,27.0
\uparrow,0.88,0.9565217391304348,0.9166666666666666,23.0
\Leftarrow,0.8235294117647058,1.0,0.9032258064516129,14.0
\longrightarrow,0.3333333333333333,0.12,0.17647058823529413,25.0
\Leftrightarrow,0.8455882352941176,0.9274193548387096,0.8846153846153846,124.0
\mapsto,0.7383177570093458,0.8586956521739131,0.7939698492462312,92.0
\leftrightarrow,0.9148936170212766,0.8431372549019608,0.8775510204081632,51.0
\nearrow,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
\rightleftharpoons,0.625,0.9523809523809523,0.7547169811320755,21.0
\rightharpoonup,0.7142857142857143,0.9090909090909091,0.8,22.0
\leadsto,0.8055555555555556,0.9206349206349206,0.8592592592592593,63.0
\circlearrowleft,0.45454545454545453,0.8823529411764706,0.6,17.0
\rightleftarrows,0.75,0.6923076923076923,0.72,13.0
\circlearrowright,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
\rightrightarrows,0.6842105263157895,0.9285714285714286,0.7878787878787878,14.0
\rightsquigarrow,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
\curvearrowright,0.7894736842105263,0.8823529411764706,0.8333333333333334,17.0
\twoheadrightarrow,0.8205128205128205,0.7619047619047619,0.7901234567901234,42.0
\nRightarrow,0.6923076923076923,0.9,0.782608695652174,10.0
\nrightarrow,0.7272727272727273,0.8421052631578947,0.7804878048780488,19.0
\upharpoonright,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
\mapsfrom,0.6111111111111112,0.8461538461538461,0.7096774193548387,13.0
\shortrightarrow,1.0,0.03571428571428571,0.06896551724137931,28.0
\lightning,0.6857142857142857,0.8727272727272727,0.768,55.0
\vartheta,0.8461538461538461,0.7586206896551724,0.8,29.0
\varpi,0.8235294117647058,0.9333333333333333,0.875,15.0
\bot,0.2222222222222222,0.02702702702702703,0.04819277108433735,74.0
\forall,0.9716981132075472,0.9626168224299065,0.9671361502347418,214.0
\ni,0.8333333333333334,0.9183673469387755,0.8737864077669902,49.0
\top,0.7380952380952381,0.9117647058823529,0.8157894736842105,34.0
\ell,0.88,0.967032967032967,0.9214659685863874,91.0
\hbar,0.9230769230769231,0.9230769230769231,0.9230769230769231,52.0
\in,0.8672566371681416,0.8521739130434782,0.8596491228070176,230.0
\notin,0.8931297709923665,0.8931297709923665,0.8931297709923665,131.0
\wp,0.7931034482758621,0.6388888888888888,0.7076923076923077,36.0
\exists,0.9785714285714285,0.9716312056737588,0.9750889679715302,141.0
\Im,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
\Re,0.5454545454545454,0.3,0.3870967741935484,20.0
\nexists,0.8055555555555556,0.90625,0.8529411764705882,32.0
\langle,0.9012345679012346,0.948051948051948,0.9240506329113924,77.0
\rangle,0.7,0.875,0.7777777777777778,16.0
\lceil,0.627906976744186,0.7714285714285715,0.6923076923076923,35.0
\rceil,0.7391304347826086,0.9444444444444444,0.8292682926829268,18.0
\lfloor,0.8205128205128205,0.7619047619047619,0.7901234567901234,42.0
\rfloor,0.8,0.5333333333333333,0.64,15.0
[,0.7901234567901234,0.6956521739130435,0.7398843930635838,92.0
],0.7419354838709677,0.8846153846153846,0.8070175438596491,26.0
|,0.45454545454545453,0.4807692307692308,0.4672897196261682,52.0
\|,0.5581395348837209,0.6486486486486487,0.6,37.0
/,0.8421052631578947,0.8888888888888888,0.8648648648648649,54.0
\llbracket,0.918918918918919,0.8717948717948718,0.8947368421052632,78.0
\rrbracket,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0
\vdots,0.9761904761904762,1.0,0.9879518072289156,41.0
\ddots,0.975609756097561,1.0,0.9876543209876543,40.0
\dotsc,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0
\aleph,0.75,0.6623376623376623,0.7034482758620689,77.0
\infty,0.9429530201342282,0.9623287671232876,0.9525423728813559,292.0
\prime,0.46153846153846156,0.4,0.42857142857142855,15.0
\angle,0.75,0.75,0.75,24.0
\diamondsuit,0.75,0.25,0.375,12.0
\sharp,0.7142857142857143,0.4166666666666667,0.5263157894736842,24.0
\backslash,0.3888888888888889,0.2692307692307692,0.3181818181818182,26.0
\emptyset,0.48412698412698413,0.6421052631578947,0.5520361990950227,95.0
\nabla,0.852112676056338,0.9918032786885246,0.9166666666666666,122.0
\flat,0.6470588235294118,0.8461538461538461,0.7333333333333333,13.0
\clubsuit,0.896551724137931,0.9285714285714286,0.9122807017543859,28.0
\heartsuit,0.9634146341463414,0.8681318681318682,0.9132947976878613,91.0
\neg,0.9655172413793104,0.9882352941176471,0.9767441860465116,85.0
\triangle,0.0,0.0,0.0,32.0
\sqrt{},0.89,0.9081632653061225,0.898989898989899,98.0
\sphericalangle,0.7142857142857143,0.9090909090909091,0.8,11.0
\square,0.9800995024875622,0.9036697247706422,0.9403341288782816,218.0
\triangledown,0.0,0.0,0.0,20.0
\blacksquare,0.9512195121951219,0.9512195121951219,0.9512195121951219,41.0
\lozenge,0.5625,0.5625,0.5625,16.0
\varnothing,0.27906976744186046,0.2553191489361702,0.26666666666666666,47.0
\vartriangle,0.0,0.0,0.0,12.0
\iddots,1.0,0.9166666666666666,0.9565217391304348,24.0
\mathcal{A},0.7857142857142857,0.6111111111111112,0.6875,36.0
\mathcal{B},0.6,0.375,0.46153846153846156,16.0
\mathcal{C},0.6666666666666666,0.42105263157894735,0.5161290322580645,19.0
\mathcal{D},0.5555555555555556,0.23809523809523808,0.3333333333333333,21.0
\mathcal{E},0.5,0.13793103448275862,0.21621621621621623,29.0
\mathcal{F},0.6904761904761905,0.725,0.7073170731707317,40.0
\mathcal{G},0.6666666666666666,0.5,0.5714285714285714,12.0
\mathcal{H},0.6666666666666666,0.8,0.7272727272727273,25.0
\mathcal{L},0.864406779661017,0.68,0.7611940298507462,75.0
\mathcal{M},0.5666666666666667,0.7391304347826086,0.6415094339622641,23.0
\mathcal{N},0.75,0.7272727272727273,0.7384615384615385,33.0
\mathcal{O},0.7142857142857143,0.5747126436781609,0.6369426751592356,87.0
\mathcal{P},0.7941176470588235,0.7297297297297297,0.7605633802816901,37.0
\mathcal{R},0.5,0.4375,0.4666666666666667,16.0
\mathcal{S},0.5789473684210527,0.5789473684210527,0.5789473684210527,19.0
\mathcal{T},0.4444444444444444,0.21052631578947367,0.2857142857142857,19.0
\mathcal{U},0.5,0.5833333333333334,0.5384615384615384,12.0
\mathcal{X},0.25,0.15384615384615385,0.19047619047619047,13.0
\mathcal{Z},0.42857142857142855,0.375,0.4,16.0
\mathfrak{A},0.8,0.5,0.6153846153846154,16.0
\mathfrak{M},0.8888888888888888,0.7272727272727273,0.8,11.0
\mathfrak{S},0.8333333333333334,0.6521739130434783,0.7317073170731707,23.0
\mathfrak{X},0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
\mathbb{1},0.7019230769230769,0.7684210526315789,0.7336683417085427,95.0
\mathds{1},0.25,0.15625,0.19230769230769232,32.0
\mathds{C},0.8974358974358975,0.8333333333333334,0.8641975308641975,42.0
\mathds{E},0.8181818181818182,0.8571428571428571,0.8372093023255814,21.0
\mathds{N},0.8846153846153846,0.9019607843137255,0.8932038834951457,102.0
\mathds{P},0.8421052631578947,0.8,0.8205128205128205,20.0
\mathds{Q},0.6285714285714286,0.9565217391304348,0.7586206896551724,23.0
\mathds{R},0.9416666666666667,0.9495798319327731,0.9456066945606695,238.0
\mathds{Z},0.9166666666666666,0.8712871287128713,0.8934010152284264,101.0
\mathscr{A},0.55,0.5789473684210527,0.5641025641025641,19.0
\mathscr{C},0.6190476190476191,0.5909090909090909,0.6046511627906976,22.0
\mathscr{D},0.75,0.6428571428571429,0.6923076923076923,14.0
\mathscr{E},0.8,0.36363636363636365,0.5,11.0
\mathscr{F},0.5384615384615384,0.5,0.5185185185185185,14.0
\mathscr{H},0.6,0.7142857142857143,0.6521739130434783,21.0
\mathscr{L},0.8170731707317073,0.8271604938271605,0.8220858895705522,81.0
\mathscr{P},0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
\mathscr{S},0.6111111111111112,0.55,0.5789473684210527,20.0
\celsius,0.9142857142857143,0.9696969696969697,0.9411764705882353,33.0
\degree,0.4074074074074074,0.16176470588235295,0.23157894736842105,68.0
\ohm,0.34210526315789475,0.3939393939393939,0.36619718309859156,33.0
\venus,0.47619047619047616,0.7692307692307693,0.5882352941176471,13.0
\mars,0.5757575757575758,0.8260869565217391,0.6785714285714286,23.0
\astrosun,0.0,0.0,0.0,30.0
\fullmoon,0.0,0.0,0.0,15.0
\leftmoon,1.0,0.8181818181818182,0.9,11.0
\female,0.3333333333333333,0.1111111111111111,0.16666666666666666,18.0
\male,0.625,0.5263157894736842,0.5714285714285714,38.0
\checked,0.0,0.0,0.0,28.0
\diameter,0.2,0.15,0.17142857142857143,20.0
\sun,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
\Bowtie,0.4838709677419355,0.5555555555555556,0.5172413793103449,27.0
\mathbb{Q},0.0,0.0,0.0,6.0
\mathbb{N},0.0,0.0,0.0,6.0
\mathbb{Z},0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
\mathbb{H},0.7,0.875,0.7777777777777778,8.0
\ss,0.35714285714285715,0.4166666666666667,0.38461538461538464,24.0
\aa,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.0
\L,0.8,0.8,0.8,10.0
\AA,0.8705882352941177,0.9736842105263158,0.9192546583850931,76.0
\O,0.0,0.0,0.0,24.0
\o,0.2,0.1875,0.1935483870967742,32.0
\ae,0.7333333333333333,0.7586206896551724,0.7457627118644068,29.0
\AE,1.0,0.8,0.8888888888888888,15.0
\guillemotleft,0.75,0.8181818181818182,0.782608695652174,11.0
accuracy,0.783545197740113,0.783545197740113,0.783545197740113,0.783545197740113
macro avg,0.6825761936003605,0.6772923167015831,0.6650144566951832,16992.0
weighted avg,0.7767757131274299,0.783545197740113,0.7727101797188879,16992.0
